,E_l0m,l0m,E_l0,l0,E_l1,l1,E_l1m,l1m,E_l2m,l2m,E_s0,s0,E_s1,s1,E_s2,s2
30,5.6964044189055985,1.866500185323746e-21,,,,,0.9408565692520471,7.398758952977442e-23,5.384692360515247,1.6404132594456645e-22,0.45269373133155905,4.228323669887876e-22,2.8994911817391267,2.6336663063706505e-21,,
31,5.8042679639454215,1.2401035305418573e-21,,,,,1.1564755520894665,5.714909347311997e-23,7.269543310097216,1.57130930470786e-22,0.5066223180792088,3.5596055002046256e-22,3.4977453457549155,2.3146534695770087e-21,,
32,5.8042679639454215,9.374813069860568e-22,,,,,1.3691663338291586,4.1383043726957844e-23,9.631783696938045,1.5051164191978291e-22,0.5777112094082205,2.8093000753665383e-22,4.299334364021046,1.9485862163414883e-21,,
33,,,,,,,1.5612868015692016,2.9966464978360835e-23,,,0.6465329025649171,2.365003434154125e-22,4.995446798373196,1.7498090332270087e-21,,
34,,,,,,,1.7472800788976142,2.078533408421838e-23,,,0.7372539498044547,1.907101605557681e-22,6.140268647616322,1.5378567664623792e-21,,
35,,,,,,,1.9190916817960149,1.1878630004490226e-23,,,0.8250816815252557,1.5378567664623794e-22,7.269543310097216,1.4730731006568768e-21,,
36,,,,,,,2.0301851256404455,7.72414587856275e-24,,,0.9586720397612545,1.2401035305418573e-22,9.631783696938045,1.5051164191978292e-21,,
37,,,,,,,2.107797672289756,5.474163404426341e-24,,,1.052939113365835,1e-22,9.631783696938045,1.5051164191978292e-21,,
38,,,,,,,2.147709608388482,3.796988242516037e-24,,,1.1783738485633362,8.418479232217783e-23,,,,
39,,,,,,,6.140268647616322,3.716151901752419e-24,,,1.3187513972572138,6.644004325811306e-23,,,,
40,,,,,,,6.375006790869186,5.022669241382635e-24,,,1.50379767615988,5.131925863036849e-23,,,,
41,,,,,,,6.495719925251629,7.08707925832821e-24,,,1.7472800788976142,3.879582992020958e-23,,,,
42,,,,,,,6.871747763624489,1.089891279187522e-23,,,1.9924572043764792,3.0618316527628636e-23,,,,
43,,,,,,,7.269543310097216,1.57130930470786e-23,,,2.315059290524483,2.365003434154125e-23,,,,
44,,,,,,,7.984363963941766,2.416448646450279e-23,,,2.689894421256053,1.7498090332270085e-23,,,,
45,,,,,,,8.769473567912378,3.4838229418135504e-23,,,3.0673385356886302,1.380978495689801e-23,,,,
46,,,,,,,9.631783696938045,4.70865852497006e-23,,,3.700224768617656,1.162573878610404e-23,,,,
47,,,,,,,,,,,4.3807438658246305,1e-23,,,,
48,,,,,,,,,,,5.284625993737925,8.979890232993264e-24,,,,
49,,,,,,,,,,,6.61871880791489,9.175227099215503e-24,,,,
50,,,,,,,,,,,8.446567254214765,9.787104053000563e-24,,,,
51,,,,,,,,,,,9.814165118306308,1.0439785817666576e-23,,,,
